Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Year
158,Royce O'Neale,SF,28,UTA,6,6,188,14,35,0.4,7,25,0.28,7,10,0.7,0.5,2,2,1.0,6,28,34,9,3,1,3,16,37,onealro01,2021
159,Josh Okogie,SG,23,MIN,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,okogijo01,2021
160,Onyeka Okongwu,C,21,ATL,5,1,108,9,16,0.563,0,0,,9,16,0.563,0.563,8,10,0.8,11,16,27,2,4,4,4,19,26,okongon01,2021
161,Victor Oladipo,SG,29,MIA,15,1,368,50,136,0.368,17,62,0.274,33,74,0.446,0.43,42,53,0.792,4,47,51,31,19,4,25,29,159,oladivi01,2021
162,Eric Paschall,PF,25,UTA,4,0,24,3,6,0.5,1,2,0.5,2,4,0.5,0.583,1,1,1.0,1,4,5,0,1,0,0,3,8,pascher01,2021
163,Chris Paul,PG,36,PHO,13,13,448,87,155,0.561,19,49,0.388,68,106,0.642,0.623,35,37,0.946,7,47,54,108,19,2,31,40,228,paulch01,2021
164,Cameron Payne,PG,27,PHO,13,0,172,22,74,0.297,5,30,0.167,17,44,0.386,0.331,5,6,0.833,2,18,20,27,7,1,13,25,54,payneca01,2021
165,Elfrid Payton,PG,27,PHO,2,0,8,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,0,0,0,3,0,0,0,0,4,paytoel01,2021
166,Gary Payton II,SG,29,GSW,12,2,203,29,44,0.659,8,15,0.533,21,29,0.724,0.75,12,18,0.667,13,24,37,16,14,7,6,23,78,paytoga02,2021
167,Jordan Poole,SG,22,GSW,22,5,606,129,254,0.508,50,128,0.391,79,126,0.627,0.606,65,71,0.915,10,52,62,83,17,8,53,62,373,poolejo01,2021
168,Otto Porter Jr.,PF,28,GSW,19,3,371,38,77,0.494,19,47,0.404,19,30,0.633,0.617,7,9,0.778,12,53,65,34,17,6,12,34,102,porteot01,2021
169,Bobby Portis,C,26,MIL,12,5,298,48,115,0.417,14,47,0.298,34,68,0.5,0.478,17,22,0.773,25,95,120,9,5,3,16,26,127,portibo01,2021
170,Dwight Powell,C,30,DAL,18,18,249,22,35,0.629,0,2,0.0,22,33,0.667,0.629,14,23,0.609,17,30,47,4,3,6,9,40,58,poweldw01,2021
171,Taurean Prince,PF,27,MIN,5,0,65,10,27,0.37,4,14,0.286,6,13,0.462,0.444,6,7,0.857,1,7,8,6,2,1,4,5,30,princta02,2021
172,Payton Pritchard,PG,24,BOS,24,0,309,43,102,0.422,24,72,0.333,19,30,0.633,0.539,4,6,0.667,10,36,46,38,6,2,9,23,114,pritcpa01,2021
173,Paul Reed,C,22,PHI,12,0,140,19,36,0.528,2,3,0.667,17,33,0.515,0.556,4,7,0.571,22,24,46,10,9,6,9,29,44,reedpa01,2021
174,Naz Reid,C,22,MIN,5,0,54,7,17,0.412,3,7,0.429,4,10,0.4,0.5,7,7,1.0,2,12,14,0,1,6,5,14,24,reidna01,2021
175,Austin Rivers,SG,29,DEN,5,0,108,8,18,0.444,4,12,0.333,4,6,0.667,0.556,1,1,1.0,0,3,3,6,7,1,4,15,21,riverau01,2021
176,Duncan Robinson,SG,27,MIA,13,0,159,25,57,0.439,18,47,0.383,7,10,0.7,0.596,5,6,0.833,2,21,23,5,4,1,3,22,73,robindu01,2021
177,D'Angelo Russell,PG,25,MIN,6,6,196,24,72,0.333,12,31,0.387,12,41,0.293,0.417,12,16,0.75,0,15,15,40,9,0,17,17,72,russeda01,2021
178,Landry Shamet,SG,24,PHO,12,0,192,19,48,0.396,9,26,0.346,10,22,0.455,0.49,5,7,0.714,3,17,20,15,6,0,7,10,52,shamela01,2021
179,Day'Ron Sharpe,PF,20,BRK,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,sharpda01,2021
180,Pascal Siakam,PF,27,TOR,6,6,260,51,107,0.477,4,17,0.235,47,90,0.522,0.495,31,36,0.861,8,35,43,35,7,6,13,24,137,siakapa01,2021
181,Marcus Smart,PG,27,BOS,21,21,760,113,279,0.405,48,137,0.35,65,142,0.458,0.491,50,62,0.806,20,75,95,123,26,5,52,71,324,smartma01,2021
182,Jaden Springer,SG,19,PHI,5,0,13,3,6,0.5,0,1,0.0,3,5,0.6,0.5,0,0,,0,4,4,2,0,0,0,1,6,sprinja01,2021
183,Nik Stauskas,SG,28,BOS,13,0,24,3,12,0.25,3,10,0.3,0,2,0.0,0.375,4,4,1.0,0,4,4,4,0,0,0,0,13,stausni01,2021
184,Max Strus,SF,25,MIA,18,18,523,68,182,0.374,47,142,0.331,21,40,0.525,0.503,13,18,0.722,15,58,73,38,14,8,20,55,196,strusma01,2021
185,Jayson Tatum,SF,23,BOS,24,24,983,201,472,0.426,77,196,0.393,124,276,0.449,0.507,136,170,0.8,24,137,161,148,29,21,100,72,615,tatumja01,2021
186,Garrett Temple,SG,35,NOP,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,templga01,2021
187,Daniel Theis,C,29,BOS,16,5,200,30,51,0.588,3,14,0.214,27,37,0.73,0.618,6,8,0.75,13,39,52,11,4,8,11,25,69,theisda01,2021
188,Cam Thomas,SG,20,BRK,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,thomaca02,2021
189,Klay Thompson,SG,31,GSW,22,22,792,158,368,0.429,77,200,0.385,81,168,0.482,0.534,26,30,0.867,7,79,86,50,24,15,28,47,419,thompkl01,2021
190,Tristan Thompson,PF,30,CHI,5,0,38,2,5,0.4,0,0,,2,5,0.4,0.4,0,0,,2,6,8,2,1,0,5,4,4,thomptr01,2021
191,Matisse Thybulle,SG,24,PHI,9,0,137,11,24,0.458,4,14,0.286,7,10,0.7,0.542,1,3,0.333,2,7,9,4,7,7,2,15,27,thybuma01,2021
192,Xavier Tillman Sr.,PF,23,MEM,9,6,139,18,25,0.72,1,2,0.5,17,23,0.739,0.74,3,6,0.5,13,17,30,6,6,1,10,16,40,tillmxa01,2021
193,Juan Toscano-Anderson,SF,28,GSW,14,0,49,4,10,0.4,2,5,0.4,2,5,0.4,0.5,1,3,0.333,0,10,10,8,2,1,8,3,11,toscaju01,2021
194,Karl-Anthony Towns,C,26,MIN,6,6,222,39,80,0.488,10,22,0.455,29,58,0.5,0.55,43,50,0.86,11,54,65,13,4,12,27,25,131,townska01,2021
195,Gary Trent Jr.,SG,23,TOR,6,6,199,31,82,0.378,13,39,0.333,18,43,0.419,0.457,17,19,0.895,1,9,10,8,6,3,3,11,92,trentga02,2021
196,P.J. Tucker,PF,36,MIA,18,18,509,54,109,0.495,23,51,0.451,31,58,0.534,0.601,11,16,0.688,35,67,102,32,14,5,13,50,142,tuckepj01,2021
197,Rayjon Tucker,SG,24,MIL,8,0,19,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,0,,1,2,3,0,0,0,0,2,2,tuckera01,2021
198,Jonas Valan?i?nas,C,29,NOP,6,6,175,33,68,0.485,1,6,0.167,32,62,0.516,0.493,20,26,0.769,33,53,86,18,4,1,12,17,87,valanjo01,2021
199,Jarred Vanderbilt,PF,22,MIN,6,6,129,13,27,0.481,0,0,,13,27,0.481,0.481,7,10,0.7,12,31,43,4,7,2,5,16,33,vandeja01,2021
200,Fred VanVleet,PG,27,TOR,4,4,140,19,54,0.352,12,36,0.333,7,18,0.389,0.463,5,6,0.833,2,10,12,25,7,4,4,12,55,vanvlfr01,2021
201,Luca Vildoza,PG,26,MIL,7,0,17,2,6,0.333,1,5,0.2,1,1,1.0,0.417,0,0,,1,1,2,4,2,0,0,2,5,vildolu01,2021
202,Gabe Vincent,PG,25,MIA,18,8,423,50,131,0.382,25,81,0.309,25,50,0.5,0.477,19,20,0.95,3,32,35,57,14,5,25,41,144,vincega01,2021
203,Nikola Vu?evi?,C,31,CHI,5,5,181,40,91,0.44,13,42,0.31,27,49,0.551,0.511,4,5,0.8,14,48,62,16,2,6,8,14,97,vucevni01,2021
204,Ish Wainright,PF,27,PHO,7,0,26,5,12,0.417,3,6,0.5,2,6,0.333,0.542,0,0,,7,4,11,1,1,1,3,2,13,wainris01,2021
205,Yuta Watanabe,SF,27,TOR,4,0,10,2,6,0.333,0,1,0.0,2,5,0.4,0.333,0,0,,0,0,0,0,0,0,1,0,4,watanyu01,2021
206,Coby White,PG,21,CHI,5,0,98,15,45,0.333,8,29,0.276,7,16,0.438,0.422,4,5,0.8,0,17,17,9,1,0,6,5,42,whiteco01,2021
207,Derrick White,SG,27,BOS,23,3,585,64,176,0.364,26,83,0.313,38,93,0.409,0.438,42,51,0.824,8,62,70,61,21,13,29,46,196,whitede01,2021
208,Hassan Whiteside,C,32,UTA,6,0,65,5,12,0.417,0,0,,5,12,0.417,0.417,1,4,0.25,8,23,31,0,2,8,0,9,11,whiteha01,2021
209,Andrew Wiggins,SF,26,GSW,22,22,767,143,305,0.469,35,105,0.333,108,200,0.54,0.526,42,65,0.646,54,111,165,40,22,23,30,54,363,wiggian01,2021
210,Grant Williams,PF,23,BOS,24,5,654,65,150,0.433,35,89,0.393,30,61,0.492,0.55,42,52,0.808,23,68,91,19,8,18,20,83,207,willigr01,2021
211,Patrick Williams,PF,20,CHI,5,5,153,22,47,0.468,7,21,0.333,15,26,0.577,0.543,8,11,0.727,6,21,27,4,5,3,7,15,59,willipa01,2021
212,Robert Williams,C,24,BOS,17,15,394,53,78,0.679,0,1,0.0,53,77,0.688,0.679,25,28,0.893,43,62,105,17,12,38,10,34,131,williro04,2021
213,Ziaire Williams,SF,20,MEM,10,1,168,23,52,0.442,11,36,0.306,12,16,0.75,0.548,12,13,0.923,4,12,16,5,5,0,2,14,69,willizi02,2021
214,Delon Wright,SG,29,ATL,5,0,137,15,29,0.517,5,13,0.385,10,16,0.625,0.603,6,9,0.667,11,13,24,14,4,1,5,2,41,wrighde01,2021
215,Thaddeus Young,PF,33,TOR,6,0,87,9,18,0.5,1,7,0.143,8,11,0.727,0.528,1,4,0.25,7,11,18,10,5,1,3,8,20,youngth01,2021
216,Trae Young,PG,23,ATL,5,5,186,22,69,0.319,7,38,0.184,15,31,0.484,0.37,26,33,0.788,5,20,25,30,3,0,31,13,77,youngtr01,2021
217,Omer Yurtseven,C,23,MIA,9,0,38,12,18,0.667,0,2,0.0,12,16,0.75,0.667,1,3,0.333,1,6,7,3,0,1,0,2,25,yurtsom01,2021
